Reaction_Time,Accuracy,Matches_Played,Win_Rate,Avg_Damage,Team_Communication,Tilt_Rate,Tournament_Experience,Game_Type,Region,Playstyle,Contract_Signed
124,93,1122,34.11680615143496,893,7,0.33771296986464705,10,MOBA,Europe,Aggressive,1
257,65,764,61.320566759045064,483,7,0.7289934517046147,5,MOBA,Europe,Balanced,0
207,65,1016,65.88984011877866,610,3,0.12657827683564815,11,MOBA,Asia,Aggressive,1
347,51,51,59.206675090523014,914,9,0.10388218218006595,0,BattleRoyale,Europe,Aggressive,0
315,57,288,93.60165951477711,651,1,0.06989774874519172,11,BattleRoyale,Asia,Aggressive,1
192,83,867,79.02115654932516,572,9,0.9218143986203186,3,BattleRoyale,Asia,Balanced,1
203,79,773,61.03724823411545,228,1,0.29221721164867753,10,MOBA,NA,Defensive,1
296,76,522,77.62346751423956,917,9,0.9745996864854964,3,MOBA,Europe,Defensive,0
121,77,521,79.56338588166324,482,5,0.3333359997603571,1,BattleRoyale,NA,Defensive,1
312,97,799,37.29378757937209,816,2,0.04706194405286224,2,BattleRoyale,Asia,Aggressive,0
264,96,358,50.95455884545372,589,9,0.9723190892947037,0,FPS,Europe,Aggressive,0
238,64,600,51.289432063643815,403,2,0.8755473771121459,7,FPS,Asia,Balanced,0
279,53,429,91.3119482802729,406,2,0.4054821199005738,8,BattleRoyale,Asia,Balanced,0
213,77,821,85.48007579528635,324,2,0.5249112683559642,9,FPS,Asia,Balanced,1
292,66,1185,49.537017491051216,384,9,0.18336082043223068,2,MOBA,NA,Defensive,0
212,90,766,94.22965308663515,627,9,0.0035212351433631106,7,BattleRoyale,NA,Balanced,1
191,62,413,34.714542708955086,623,8,0.5695281857140043,1,BattleRoyale,Asia,Aggressive,0
143,66,994,51.71054665676874,986,8,0.9967601726438235,0,MOBA,NA,Aggressive,1
130,57,1091,43.0804062693145,316,3,0.49290612778021403,3,FPS,Asia,Defensive,0
155,98,684,63.84522741761182,492,1,0.10711926409917039,3,FPS,Europe,Aggressive,1
312,87,1117,88.81583398561546,346,2,0.8461676501268987,10,MOBA,Asia,Aggressive,0
181,57,802,81.21105915120364,1112,1,0.019131853702420987,3,MOBA,Europe,Defensive,0
255,98,604,32.422462369495534,426,9,0.36413995262090704,0,FPS,Asia,Balanced,0
271,98,604,46.14560774020087,230,5,0.10768378970275483,4,FPS,NA,Balanced,0
212,63,968,80.54514700175007,1087,3,0.8013466143701191,2,FPS,Asia,Defensive,0
344,61,830,48.21195642035333,438,4,0.2654688159963683,0,MOBA,Asia,Balanced,0
269,68,869,83.17087343960918,729,7,0.31205528968246554,1,BattleRoyale,Asia,Aggressive,0
220,59,374,70.46997245853177,1118,4,0.1847235951145938,9,MOBA,Asia,Aggressive,1
283,94,227,75.31756451506598,1113,3,0.7173641790235592,4,FPS,Europe,Balanced,0
345,59,819,76.42451293675816,274,5,0.11079123648438038,5,BattleRoyale,Europe,Balanced,0
187,52,113,67.49483123594163,1060,9,0.8464991916560017,5,FPS,Europe,Aggressive,1
243,83,441,41.98850580306435,664,4,0.5538781768942814,0,FPS,Europe,Balanced,0
339,54,359,82.7591660287658,1141,9,0.15182256301018948,11,BattleRoyale,Asia,Aggressive,1
345,52,204,66.6435667243818,768,6,0.7334613569997313,9,BattleRoyale,Europe,Aggressive,0
139,80,626,76.90762962310144,955,3,0.17369948539077473,10,FPS,Europe,Aggressive,1
275,74,1125,31.70435469173015,1023,5,0.20872220482559067,3,FPS,Europe,Aggressive,0
124,55,772,41.80368981438555,310,6,0.5507033800167924,8,FPS,Asia,Aggressive,1
139,52,99,66.7459314574849,966,6,0.89900835986392,3,FPS,Asia,Defensive,1
153,99,268,82.08642806101184,625,6,0.8342554123984566,9,FPS,Europe,Balanced,1
243,58,361,53.48829061301184,492,3,0.6962942756060003,5,FPS,Europe,Aggressive,0
150,52,754,78.83282167160186,936,2,0.03967501903920723,1,MOBA,Europe,Balanced,0
305,74,520,30.09822147893983,774,9,0.4997778337186246,1,FPS,Europe,Aggressive,0
349,74,203,32.90150805960928,547,4,0.6082884934891414,11,FPS,NA,Defensive,0
193,99,740,74.75345174979785,231,9,0.9615081914220537,6,MOBA,NA,Aggressive,1
341,96,229,94.17597762106497,226,4,0.1291851384244196,7,FPS,Asia,Aggressive,0
329,88,882,50.52373440966096,935,6,0.584226470964544,2,MOBA,Asia,Aggressive,0
247,60,1006,51.85041610211586,470,9,0.9708274089743266,4,BattleRoyale,NA,Balanced,0
279,75,1095,52.10885970569475,860,6,0.5298008338231138,1,MOBA,Asia,Aggressive,0
250,57,460,67.69097008026912,607,3,0.49427028277545126,7,FPS,Asia,Defensive,0
203,73,936,55.64102157655398,790,6,0.25301563450057596,6,BattleRoyale,Europe,Aggressive,1
298,69,1066,53.66942198221009,219,2,0.547980637963143,3,FPS,Europe,Balanced,0
266,52,264,79.8694661017349,885,2,0.6417815169695404,10,BattleRoyale,Europe,Defensive,0
141,59,969,30.123326025916338,945,7,0.820703573308132,6,FPS,Europe,Aggressive,1
239,87,166,86.59266156875367,674,9,0.5351016432847975,11,FPS,Asia,Aggressive,1
187,93,297,78.1694556734007,227,2,0.11003140108124354,11,MOBA,Asia,Defensive,1
323,71,405,92.18798783429557,802,6,0.6403707096290334,5,FPS,Europe,Defensive,0
306,97,900,84.67444861053247,388,4,0.28161341585596333,2,BattleRoyale,NA,Balanced,0
167,58,871,81.59171200837477,1012,3,0.9356880030260099,4,BattleRoyale,Asia,Balanced,0
136,81,439,49.03682758311703,447,5,0.20881333311539807,7,FPS,Asia,Aggressive,1
132,77,366,80.75110216161556,985,6,0.873531566892996,8,MOBA,Asia,Balanced,1
213,52,341,68.82640219277769,388,5,0.5277239380233996,9,MOBA,Asia,Aggressive,0
227,71,594,52.7133439438805,736,1,0.21637175550717336,3,FPS,Europe,Aggressive,0
257,74,424,82.64511019906129,227,4,0.6536929394112868,8,MOBA,Asia,Balanced,1
196,53,1007,61.81891852994431,807,7,0.8281343630125607,5,MOBA,Europe,Defensive,0
187,72,359,93.98191557428649,713,8,0.15416361744366447,1,FPS,Europe,Aggressive,1
230,79,907,76.90959547645295,1028,9,0.12621174957468917,2,MOBA,Asia,Balanced,1
262,91,733,87.18798580874292,966,1,0.8541801895755293,9,BattleRoyale,Asia,Aggressive,0
244,85,1097,88.59057219649586,1157,8,0.10482360208484631,4,BattleRoyale,Europe,Balanced,1
140,75,797,68.02387236571272,975,8,0.8114630079455549,5,MOBA,Europe,Aggressive,1
173,80,1095,88.0212838531143,1160,9,0.924243203548103,9,FPS,Asia,Defensive,1
263,58,794,68.83468476187522,599,4,0.46241051081201334,3,FPS,Asia,Defensive,0
179,72,341,63.24717308268318,392,5,0.6658367648385825,5,BattleRoyale,Asia,Aggressive,1
155,56,152,94.67887585906796,564,3,0.15868432994947668,3,FPS,Europe,Defensive,1
168,55,507,75.2447267972877,515,7,0.425295181301125,8,MOBA,Asia,Defensive,1
124,73,415,74.88935480539189,458,2,0.11395870909706463,1,FPS,Europe,Balanced,1
163,82,351,94.24063374637294,631,5,0.3564228057044979,5,FPS,Europe,Balanced,1
320,93,241,70.8884848068434,536,8,0.9874816166706079,3,BattleRoyale,NA,Aggressive,0
338,95,936,30.18485680694497,1014,9,0.47051647918159256,0,BattleRoyale,NA,Balanced,0
174,81,103,73.95698883157102,255,3,0.5166699836824259,8,MOBA,Europe,Balanced,0
163,92,1120,70.8723420540888,1025,4,0.6820952849496846,11,MOBA,Europe,Balanced,1
335,54,345,77.3041776241974,348,9,0.4287662897077055,10,BattleRoyale,Asia,Balanced,1
325,66,815,93.35639896694393,669,3,0.6974360147660297,0,FPS,Europe,Aggressive,0
298,52,735,77.90945906168665,1059,4,0.36318048029110683,3,FPS,Asia,Aggressive,0
159,55,1083,94.63839582282247,892,6,0.20662058673098938,0,MOBA,Asia,Aggressive,1
251,97,303,81.21748767698566,550,1,0.37547570740356795,3,BattleRoyale,Asia,Balanced,0
277,72,172,93.69869643072356,1040,6,0.1021489801129154,4,FPS,Europe,Balanced,0
260,79,1099,58.29099137319325,531,5,0.29802791849516663,9,MOBA,NA,Aggressive,0
324,74,727,46.00428091582902,285,7,0.1640286472999819,8,FPS,NA,Balanced,0
199,70,319,65.8326569013562,1021,8,0.04573080898864279,11,FPS,Europe,Defensive,1
149,70,951,87.74362514756312,474,3,0.8535595584683531,7,MOBA,Europe,Aggressive,1
256,98,349,85.87659852700726,1031,5,0.37449138313333974,10,BattleRoyale,Europe,Aggressive,1
174,68,1120,73.54648893608453,557,3,0.9010493990966386,6,FPS,NA,Defensive,1
286,51,69,56.23318277472906,1042,5,0.5694554261553245,4,FPS,Asia,Aggressive,0
237,64,484,47.886279608698615,272,5,0.590026116244946,6,FPS,Asia,Balanced,0
318,74,728,31.63365231957074,635,5,0.5339856971087238,9,BattleRoyale,Europe,Aggressive,0
269,55,966,57.136540488334916,550,6,0.8243937369117174,9,BattleRoyale,Asia,Balanced,0
164,91,724,62.709905765141315,1049,5,0.3346748148759079,0,BattleRoyale,NA,Balanced,0
339,82,1123,93.83562450059819,471,2,0.8376111971069478,0,MOBA,Asia,Aggressive,0
255,54,909,66.8880730593278,1019,3,0.6525676360379395,8,MOBA,Europe,Balanced,0
329,70,625,67.60708952679025,815,1,0.627013204535663,6,FPS,NA,Balanced,0
317,81,394,60.270554928997754,219,9,0.3594456890577725,6,FPS,Europe,Aggressive,1
220,98,220,30.94522663006175,682,1,0.7557988005821553,5,BattleRoyale,Asia,Aggressive,0
300,94,320,48.63371248707967,758,2,0.7625859101680909,7,BattleRoyale,Europe,Balanced,0
289,96,856,72.73340226443543,894,9,0.23384535880848556,5,MOBA,NA,Aggressive,1
149,82,756,76.03157878156094,245,5,0.9742222856510389,2,MOBA,Asia,Aggressive,0
146,79,185,91.7805037823743,1193,4,0.13134439305331813,9,BattleRoyale,NA,Aggressive,1
184,60,772,61.303130576179825,562,3,0.3856346866157132,6,FPS,NA,Balanced,0
310,99,627,74.73890400595288,876,4,0.15165179718652377,6,FPS,Asia,Balanced,1
334,77,297,81.78202231703983,222,7,0.5074922786436069,1,FPS,Asia,Defensive,0
346,73,1066,79.29416231374373,585,5,0.10549104142429166,2,MOBA,Asia,Balanced,0
132,60,805,38.17363771194187,971,6,0.08951597097004249,2,FPS,Europe,Aggressive,1
254,67,629,87.88101935653272,482,2,0.7047140573795099,5,FPS,NA,Balanced,0
282,90,995,78.94880731657115,391,9,0.7050593765261934,6,MOBA,Asia,Balanced,0
307,71,800,73.51345947890516,329,2,0.9210631661487869,6,FPS,Europe,Aggressive,0
226,88,100,39.36254376996219,940,4,0.13770640442983162,2,MOBA,Asia,Aggressive,0
230,58,670,91.31188611871995,1088,3,0.31823834284285946,1,FPS,Europe,Aggressive,0
236,60,1189,74.19556051213453,365,5,0.021439430661087222,5,MOBA,NA,Balanced,1
213,53,1134,42.37820984333574,802,7,0.4163535570505088,7,MOBA,Asia,Aggressive,0
137,80,457,68.05024768071374,281,3,0.4890401389818758,8,FPS,NA,Aggressive,1
125,52,169,39.63368566376081,749,7,0.45196604898473913,7,BattleRoyale,Europe,Balanced,1
199,50,996,33.57438617921425,672,7,0.5002791923645025,6,FPS,Asia,Balanced,0
169,99,578,76.25869820702371,711,6,0.29629057561745065,8,BattleRoyale,Europe,Balanced,1
302,87,50,77.92392228828331,775,8,0.1434132247706672,8,FPS,NA,Aggressive,1
196,88,370,63.49862656345357,1142,7,0.11455320476103614,3,FPS,Asia,Balanced,1
225,86,303,39.73271079049512,952,5,0.28181013527913534,5,FPS,NA,Balanced,1
340,71,676,51.24952987485122,877,5,0.5624841599894368,7,FPS,Europe,Balanced,0
302,83,76,36.808686591369245,1190,9,0.799305718156927,9,MOBA,Europe,Balanced,0
295,73,388,44.738365566480184,1038,4,0.6485082538377127,9,BattleRoyale,Asia,Balanced,0
285,55,809,34.28221058641007,802,6,0.10943484195995268,10,MOBA,Asia,Defensive,1
321,69,1031,73.10702894830297,1115,4,0.5780226298984115,0,FPS,Asia,Defensive,0
207,90,327,80.593239452089,1079,1,0.16929084856822452,4,BattleRoyale,Europe,Aggressive,1
269,52,68,63.626432592953535,547,5,0.173760003138011,9,FPS,NA,Balanced,0
124,76,247,72.93882983692882,981,9,0.7383281753746873,2,FPS,Asia,Aggressive,1
339,55,479,39.77078153446454,1171,5,0.23119616780160068,10,MOBA,Europe,Balanced,0
196,61,133,89.0223220446367,451,2,0.058927564582643366,5,BattleRoyale,NA,Defensive,0
195,97,138,68.62107370826433,931,6,0.4244383695142563,7,FPS,Asia,Aggressive,1
126,88,547,38.09473368500356,1032,8,0.3524847235002334,9,BattleRoyale,NA,Aggressive,1
240,83,90,64.71657475508368,950,6,0.6239727585615634,11,FPS,NA,Balanced,1
345,96,254,59.81509931092889,494,7,0.31357870413429145,1,BattleRoyale,NA,Defensive,0
333,70,962,86.42368130050775,274,3,0.795199799998849,6,FPS,NA,Defensive,0
205,53,513,78.73059059614604,942,4,0.8353751303153376,11,FPS,Europe,Aggressive,1
278,54,126,36.31647263405648,245,9,0.41269034811149063,6,BattleRoyale,Europe,Aggressive,0
227,56,576,72.12295335742651,779,3,0.643111436767054,4,BattleRoyale,Asia,Defensive,0
340,73,605,33.468017189448844,1176,9,0.6239086073089188,10,FPS,NA,Balanced,1
176,65,1079,62.227630418650314,400,7,0.9556599945692391,1,FPS,NA,Balanced,0
171,98,291,84.32967671938823,880,9,0.7176965601002725,11,FPS,Asia,Aggressive,1
303,79,456,42.240553304312854,437,2,0.10476687185515954,3,BattleRoyale,Asia,Defensive,0
241,86,315,72.07273048105029,622,3,0.43288639538483564,11,MOBA,NA,Defensive,1
260,57,993,56.40810057081539,924,5,0.5856535318323164,1,BattleRoyale,Asia,Balanced,0
196,97,474,37.479052054711914,647,6,0.7356461958257015,2,FPS,Europe,Defensive,0
229,88,183,87.60810034714405,486,6,0.7845728260406004,0,FPS,Europe,Balanced,0
284,95,214,76.78163048844922,596,7,0.5453401956514626,8,FPS,Asia,Balanced,1
319,93,424,47.359549572754105,307,5,0.276913991044896,2,MOBA,NA,Balanced,0
205,56,587,43.05504097651178,964,1,0.7333209507909126,9,MOBA,Asia,Balanced,0
306,61,585,53.234719356219614,766,9,0.32268946725514447,1,FPS,Asia,Balanced,0
161,55,128,76.44832125467656,877,7,0.4172089607656164,11,MOBA,Asia,Aggressive,1
263,98,1043,89.5077817136222,824,2,0.20971240248312228,4,FPS,Asia,Aggressive,1
163,74,541,63.49226824099229,1177,8,0.8781946831806062,11,BattleRoyale,Europe,Balanced,1
179,79,1160,30.21587194527104,1194,9,0.13859461476662127,3,MOBA,Asia,Aggressive,1
202,60,310,30.884956553435636,663,6,0.2571619957804906,10,FPS,Asia,Balanced,1
183,79,626,45.91647151640496,670,2,0.6992501622578874,10,FPS,NA,Balanced,0
276,92,929,80.91214008792463,363,5,0.5882934047050176,10,BattleRoyale,Europe,Balanced,1
264,86,519,40.925622670388115,539,2,0.39170262832090874,9,BattleRoyale,Europe,Aggressive,0
253,99,719,67.45614614410158,743,2,0.5995519167255157,8,FPS,Asia,Aggressive,0
155,75,51,31.886794549440626,438,3,0.7313111711599221,9,FPS,Asia,Aggressive,1
197,60,929,50.96350492289412,865,1,0.5824439517488869,11,MOBA,Asia,Aggressive,0
152,72,791,72.91805106525788,682,6,0.007059720201700537,9,MOBA,Europe,Defensive,1
237,66,121,74.25001706601034,822,5,0.5088990205072924,10,BattleRoyale,Europe,Aggressive,1
335,66,259,31.16184633292036,248,4,0.10135797125994228,5,FPS,Europe,Aggressive,0
343,84,146,41.427975785191734,441,5,0.7291805126938711,1,FPS,Asia,Defensive,0
281,66,87,44.996800889192095,759,4,0.0038414384596724416,8,MOBA,NA,Defensive,0
165,62,235,46.65146764408533,772,2,0.2162939092546825,8,BattleRoyale,NA,Aggressive,1
288,53,1009,53.31381866315532,598,9,0.6344231471755027,1,MOBA,Europe,Defensive,0
236,76,855,81.08222458822372,792,2,0.8472112757562927,7,FPS,NA,Aggressive,0
339,78,393,36.7325880434015,817,7,0.030548192195385515,9,MOBA,Europe,Defensive,0
262,87,451,44.980247170283945,593,1,0.2709716249066816,11,MOBA,Europe,Balanced,0
165,75,1174,61.50024517916488,293,8,0.5746671309835469,7,BattleRoyale,Asia,Aggressive,1
225,85,109,80.70116871959273,222,6,0.5571805972753631,7,MOBA,NA,Aggressive,1
162,72,394,80.09782954139826,858,5,0.7997017977681211,11,FPS,Asia,Aggressive,1
216,58,115,37.0718985612667,817,5,0.415593630828621,6,FPS,Europe,Aggressive,0
154,51,60,64.76983953992739,280,3,0.8604525832513708,1,FPS,Asia,Balanced,0
215,81,1084,72.19895313878808,1135,3,0.385182018022735,2,FPS,NA,Aggressive,1
232,91,905,58.32934458666981,1146,4,0.5437079862737191,6,BattleRoyale,NA,Balanced,0
303,96,889,85.41522471867091,1125,6,0.448190513189767,1,FPS,Europe,Defensive,0
266,80,1110,37.15442586136818,1105,3,0.5332528452805643,11,MOBA,Asia,Balanced,0
129,78,675,66.43499146351766,1187,2,0.1391601335036463,2,FPS,Europe,Aggressive,1
321,54,853,76.5583496310659,1123,4,0.7646099981040283,1,MOBA,NA,Defensive,0
133,85,377,93.76887767143899,944,7,0.14118083239985146,5,BattleRoyale,Asia,Balanced,1
205,98,962,30.638880082783004,820,5,0.44848167829554,2,BattleRoyale,Asia,Aggressive,0
291,77,219,77.03642353157176,455,9,0.6368995377514961,6,MOBA,Asia,Balanced,1
121,86,349,52.15648595475666,426,1,0.22081266422814172,8,BattleRoyale,Asia,Balanced,1
151,99,341,78.43858546256472,833,2,0.9863727845396827,0,FPS,Asia,Aggressive,0
262,89,855,64.24630466116935,669,5,0.6843272146706962,5,BattleRoyale,Europe,Aggressive,0
328,76,532,80.70315358118147,1014,8,0.12801534072660736,2,FPS,Europe,Defensive,0
168,59,1022,40.707869595097776,979,2,0.9884461859723561,2,FPS,Asia,Balanced,0
273,76,916,89.45359226480542,1190,6,0.3429873477164954,8,FPS,Asia,Balanced,1
281,79,1096,55.20302901514242,329,9,0.849627452032308,1,MOBA,Asia,Aggressive,0
333,92,1071,82.22703741293769,1086,6,0.33710372434251656,4,MOBA,Asia,Balanced,0
331,69,371,49.02715083680483,344,8,0.5978206282849736,9,BattleRoyale,NA,Balanced,0
202,54,544,38.77817685238156,728,8,0.728596349216227,3,BattleRoyale,Europe,Aggressive,1
184,87,1039,52.296930001732335,963,7,0.3989489889236213,11,MOBA,Europe,Defensive,1
325,78,287,73.8572458191982,343,3,0.983848098016163,10,FPS,Europe,Aggressive,0
178,91,225,89.79194684046858,897,6,0.8885200157467421,2,FPS,Asia,Balanced,1
130,65,695,62.30258998002618,528,8,0.2393149508950162,3,FPS,Europe,Aggressive,1
300,78,463,51.6913988756054,483,6,0.6775668171941364,7,FPS,Asia,Aggressive,0
147,65,598,90.57067079696893,788,8,0.4336612118508457,4,FPS,Europe,Defensive,1
276,96,501,78.12927126909523,352,4,0.8927240652277972,8,MOBA,Asia,Balanced,1
128,74,454,59.39262125481561,1121,5,0.15465870525011438,6,FPS,Europe,Balanced,1
345,79,828,72.42841879132627,632,2,0.7500629346264642,4,FPS,Europe,Aggressive,0
220,51,192,46.55637086501986,1034,2,0.3881859977044587,6,BattleRoyale,Europe,Aggressive,0
337,69,638,62.36319880162069,947,4,0.5112080653203857,1,FPS,NA,Balanced,0
292,91,491,56.013768149583655,996,3,0.6914766687508745,9,MOBA,Europe,Balanced,0
299,96,979,45.97042263249325,586,7,0.20845720616160635,7,MOBA,NA,Aggressive,0
174,82,216,35.75121228505923,863,2,0.1012467983961437,7,BattleRoyale,Europe,Aggressive,1
162,99,1055,44.83408732573576,648,3,0.2637229646681769,1,FPS,Europe,Balanced,0
212,68,447,81.93415076560056,890,5,0.4098100563625928,11,MOBA,Asia,Defensive,1
127,53,832,79.39069345508068,517,5,0.29793517264272096,5,BattleRoyale,Europe,Defensive,1
263,82,75,58.481783023437785,294,5,0.21728840825749707,8,FPS,Europe,Defensive,1
248,74,86,87.26238714489884,865,4,0.7076998629672617,4,MOBA,Europe,Aggressive,0
330,85,219,40.27292079981847,730,1,0.759066062003823,10,MOBA,Europe,Defensive,0
296,99,887,77.7292876493006,708,8,0.8985673996601017,1,FPS,Asia,Aggressive,0
312,50,201,79.58362294648418,899,8,0.29279340796516573,4,MOBA,Europe,Balanced,0
164,65,878,34.36329068827086,397,8,0.7234430287567636,3,BattleRoyale,Asia,Balanced,0
129,74,261,86.27437540082262,1155,7,0.08045409209865284,5,FPS,NA,Aggressive,1
166,84,473,80.32166041023208,288,2,0.20719518611563048,10,MOBA,Asia,Defensive,1
304,60,1019,60.190213217422254,1063,7,0.13800056960468154,7,FPS,Asia,Aggressive,1
346,73,280,62.13974276240591,638,4,0.2341104101224314,5,FPS,Europe,Aggressive,0
296,84,158,67.97208994454007,293,7,0.7046847854452921,8,BattleRoyale,Europe,Aggressive,0
247,70,359,61.11204837794551,1114,6,0.17748920642741062,9,BattleRoyale,Asia,Balanced,1
291,53,661,33.55101736606035,446,5,0.7443316533985396,6,FPS,NA,Aggressive,0
125,94,879,58.02551440158584,624,5,0.4786629736236363,1,BattleRoyale,NA,Balanced,1
269,63,652,86.21979252192955,214,9,0.7313007499845205,9,MOBA,Europe,Balanced,1
264,76,895,64.73840115287479,237,3,0.5138831888446854,4,FPS,Europe,Aggressive,0
131,82,507,45.90332047507147,726,2,0.4034186176837474,3,MOBA,Asia,Aggressive,0
226,65,342,89.01793856337449,875,8,0.9509744399417945,8,FPS,Asia,Balanced,1
280,93,534,57.72128780634166,1066,7,0.7380738959230438,9,FPS,NA,Aggressive,1
160,51,1103,41.96097901339962,753,2,0.8142456308777173,8,BattleRoyale,Asia,Aggressive,0
156,82,264,68.7059949517518,386,5,0.4989565215791757,11,MOBA,Asia,Aggressive,1
189,51,830,41.32064631531662,345,3,0.05357901067400472,4,MOBA,Europe,Balanced,0
276,72,604,70.55453505806517,463,7,0.5681254652400323,1,MOBA,NA,Aggressive,0
227,51,705,74.0277830850829,831,8,0.5617852984872638,7,MOBA,Europe,Aggressive,1
213,71,968,42.51291702325629,634,1,0.8705324918866507,1,BattleRoyale,Asia,Aggressive,0
169,91,486,50.445718289857055,507,8,0.6690168432723995,7,MOBA,Europe,Aggressive,1
181,86,1007,68.21887961579263,837,7,0.01772172225393409,3,MOBA,NA,Balanced,1
230,64,912,44.29979769105206,223,3,0.26637182109973545,3,FPS,NA,Balanced,0
300,58,1095,83.40439135556491,969,2,0.7574291803517627,6,MOBA,Asia,Defensive,0
343,78,618,77.5384356173833,501,1,0.5070276838616297,2,FPS,Europe,Balanced,0
255,69,349,41.39919618294575,985,9,0.7099060924940512,1,MOBA,Europe,Balanced,0
212,53,723,68.29128543674756,946,4,0.5381275166688972,8,FPS,Asia,Balanced,0
178,59,388,67.22441503095982,926,1,0.3893313061305066,6,MOBA,NA,Aggressive,1
298,76,662,54.27267838302788,967,3,0.8556144537789816,5,FPS,NA,Aggressive,0
296,73,432,72.70700051047646,211,8,0.2331656240504928,4,BattleRoyale,NA,Aggressive,0
198,93,191,57.92291217081504,237,2,0.012333845398817544,7,FPS,NA,Balanced,1
167,51,661,58.87812198065677,616,8,0.06848762165469247,4,BattleRoyale,NA,Aggressive,1
246,97,1076,55.62147435086682,305,2,0.1023138615151038,1,FPS,Europe,Balanced,0
310,73,289,67.30858727822547,539,5,0.5566610186705625,8,MOBA,NA,Balanced,0
325,77,803,30.07146789134524,785,4,0.4629475930841448,2,BattleRoyale,NA,Balanced,0
