Creator_Experience_Years,Videos_Per_Month,Avg_Watch_Time_Min,Content_Quality_Score,Niche_Competition,Thumbnail_ClickRate,Upload_Consistency,Audience_Retention,Ad_CPM,Platform,Content_Type,Audience_Region,Monthly_Revenue
0,12,10.05892903557552,2,0.2221241907083954,3.8009134813331333,6,63.87390871880112,5.810498763877132,Twitch,Vlog,US,3669.9091071715975
7,14,17.02108878016473,5,0.37764741714020644,1.7043402041076225,4,76.70537643646502,8.635360957696593,Instagram,Gaming,India,4550.344254823281
11,60,20.088677170209742,2,0.7810648110695063,10.701554957566515,9,51.70208395120987,0.5013161650182105,Twitch,Gaming,India,4297.12652171797
6,42,19.867685942409302,8,0.8824543078145917,12.175270378039873,1,44.216515711830965,10.444269224852896,YouTube,Gaming,Europe,5941.31511324821
9,60,19.963649373764376,7,0.6222167929160429,2.4466072103615106,4,63.76404771971807,11.48763627571272,YouTube,Education,US,6296.290602065304
11,61,21.223256019701317,6,0.9081872088309284,15.320328236891207,1,46.44517817266564,14.821879656567834,Instagram,Education,India,6548.811424082881
10,8,9.610733195639868,2,0.1212773586550584,11.710123169536919,1,78.93641751322384,8.936785224898951,Twitch,Education,US,4784.321762091448
9,18,24.884756268183565,7,0.6788969615058549,2.8673881079818893,4,89.88134488083459,3.1780107282424597,Twitch,Vlog,India,3929.1934281342437
11,5,2.0121797294114447,3,0.12705900969775286,9.532160980070486,8,52.61383542616974,10.376636527787342,YouTube,Gaming,India,5153.281921621102
5,42,19.48001012664419,5,0.819106922175423,3.7261793610912806,9,56.57843567812829,14.497370592395754,Instagram,Education,Europe,6001.03643361817
7,20,13.177957782724327,3,0.7467697661739988,3.5513831531695192,8,35.5679323583383,4.731275638750429,Instagram,Vlog,India,3581.8494072046856
7,45,10.592599208054315,2,0.02325149349272493,16.531540643873758,1,56.04249754519711,8.724172426031002,YouTube,Gaming,India,5350.783450621992
0,54,16.47136690816997,8,0.7204819964375624,1.6049606072582647,5,64.91881107630095,7.771196592435116,Instagram,Education,India,4247.03223605647
8,41,8.100746228388285,6,0.9971577334164939,16.607397728592765,1,32.16874019844806,10.928360527768183,YouTube,Vlog,US,5746.4728163994205
0,52,20.410656387561485,8,0.12710909608041077,12.879604996823959,4,40.235990005021755,12.372781378406936,YouTube,Vlog,US,6190.388730290666
11,23,24.628027642585394,1,0.6059412174535831,8.43232230334656,7,27.23676909657165,12.915693184856101,Instagram,Gaming,India,5586.866483160355
8,56,7.837289850927838,5,0.17974650074553844,1.4088826527451261,4,85.04232228944667,5.6549835536852555,Twitch,Vlog,US,4516.732514778453
5,23,3.2699432161307804,9,0.6954076561065866,11.940275988957598,3,46.56772212435259,10.384161980049802,YouTube,Education,India,4978.170007193979
5,23,8.811410567623895,8,0.9636610312656346,7.330064983052427,6,86.99398292746662,2.7757045109141165,YouTube,Gaming,Europe,4400.446366236013
7,47,12.885981548802633,1,0.655501538038222,15.76629308483434,1,84.05771461058899,7.2914442945218845,Instagram,Gaming,India,4519.903153888016
2,11,5.133331075562404,4,0.1691598810846019,12.697675086147635,4,43.26080834016343,2.0453286252047693,Twitch,Education,US,3448.082470039922
3,49,11.91967832514811,7,0.6787003394058516,2.9450982129667653,7,62.98366998441385,4.139862653631409,Instagram,Gaming,US,4203.917205698914
11,15,8.660604438639234,8,0.326948154462372,8.700619099676551,2,31.949158044070387,9.020858618048425,Twitch,Vlog,India,4859.673079814142
1,71,20.755588894267802,8,0.7792933675051368,9.202019278614927,6,87.76785289366487,3.45924539057251,YouTube,Vlog,India,4163.417905932607
0,10,17.331441321120824,4,0.7788648079911702,10.407071876829724,1,27.947976375136452,10.83825164057343,Instagram,Education,India,3897.9972650895816
3,51,9.00145383288653,5,0.29041610046664323,11.839148164899706,4,64.65305853383592,2.5180574610435094,YouTube,Gaming,Europe,4320.8543823981645
8,64,4.183621211609124,7,0.26565699755937433,1.1950206531222363,2,76.7894365065307,10.854173383175613,YouTube,Education,India,5004.53992978155
7,73,10.276466633644112,8,0.7241711369373832,2.733668059551178,7,30.765732065849974,10.06893176054107,YouTube,Vlog,India,5184.334633764374
1,27,24.770544783716264,5,0.03276781473324075,1.9137779491129514,9,83.93616079306378,8.06040863326903,YouTube,Vlog,US,5029.825167305969
4,55,2.323179745113843,5,0.09897008949872976,8.092964428141817,7,88.79718460375534,12.900727032492135,YouTube,Gaming,India,5495.967791984997
8,24,2.620637014122054,1,0.056746921124601335,1.5793525422357764,6,27.405038692210805,5.204540373431343,Instagram,Gaming,India,3754.469241911522
2,50,7.300122961607647,8,0.4637377362171746,3.105933875666763,7,80.66092846468678,14.899177438444598,Instagram,Education,US,5865.3199916083895
0,42,4.057965952668674,1,0.4384459127817093,16.818781067943625,2,83.1084609074285,9.372095590660466,Instagram,Gaming,Europe,4482.416868068861
3,42,15.026012885157325,9,0.5876719614193663,8.356505264903682,3,82.24959883726265,11.10605520727129,Twitch,Education,US,5724.490667973887
9,29,15.52148739828886,8,0.869363194061971,17.55695123119507,5,88.82897440849712,11.569968558894224,Twitch,Vlog,US,6239.997740478751
5,73,21.436826511419817,5,0.5587265291066874,10.116307343375281,3,45.29270412256692,7.077734000979409,Instagram,Education,US,5152.929629735631
10,45,3.0950156364623487,3,0.6690611849852015,7.789080853237302,3,71.52777560909725,11.498545661703826,Instagram,Gaming,Europe,5664.340843876109
6,11,20.838873501239345,4,0.47075531953817296,12.37450818631234,1,52.32444691723014,12.679617343684754,Twitch,Vlog,US,5438.694133785695
11,53,14.867040351362672,8,0.9137653579479391,15.715403447546016,7,62.968379856826424,14.383084525924657,Instagram,Education,India,6620.452346772755
1,76,18.424679064293663,9,0.9862637897962101,3.6667438775159154,6,59.700449363906834,4.042684007131604,Instagram,Vlog,Europe,4257.502391361689
11,36,18.20868703347815,2,0.3121385249305363,10.442047079116598,3,84.94378424177108,14.669511167931274,YouTube,Gaming,Europe,6629.949996382935
2,54,8.158145144100345,5,0.021076116014742796,17.31453605861231,9,50.189697318036096,12.53851863336377,Twitch,Gaming,Europe,5945.408735112592
0,18,17.312704053919393,7,0.15483075129364365,11.687777928880912,8,25.950888129777873,7.57080966561238,YouTube,Vlog,India,4395.123033666673
10,28,2.050638951454742,3,0.8516759546808367,15.151335028966344,2,49.85926488453604,3.1455121561387944,YouTube,Gaming,Europe,4606.916976155955
0,79,12.195442534759074,8,0.46109438550026827,4.627837665738527,7,37.987579248742236,3.0911564041999577,YouTube,Vlog,US,4325.245800566111
8,71,11.420867351358176,6,0.8252312135023747,14.745286823099782,4,36.01092690342274,4.250820493003824,Twitch,Gaming,Europe,4971.665584992098
8,32,16.455302834365096,2,0.9596339743303993,14.180682715527778,7,55.04565515745122,9.612735540542738,Instagram,Gaming,Europe,5457.9247310503515
4,55,17.29701655351755,3,0.6032723071056398,4.2314681620794055,3,62.86689425010072,5.366474346079986,Instagram,Vlog,India,3679.6329791772678
1,34,14.006400659453941,4,0.890038023789636,5.601052832485269,9,66.10609359827455,7.083026187037376,Twitch,Gaming,Europe,4386.799670129349
1,13,7.715492523193941,3,0.6847047211482036,11.065486794075841,2,88.4232044444833,13.49945816478934,Twitch,Gaming,India,4532.56085887614
9,51,4.537906866288995,7,0.37975294916089164,9.654473139641182,7,42.17201924062425,4.242942354526033,YouTube,Gaming,India,4787.54140125971
11,6,23.81185992222403,8,0.35905037150958585,6.180830894109196,8,51.6321101349272,9.908558568098444,YouTube,Vlog,US,6033.471134652906
2,69,20.572900156933787,2,0.3581290660052726,10.423959645947193,8,49.93482908744199,9.525516483356688,YouTube,Gaming,US,5604.426777878024
8,69,15.102289286727466,8,0.25769987016550533,10.365970619940779,6,37.900277057131404,6.3058871281201725,Twitch,Education,Europe,5417.902707358421
3,25,9.448087757424082,4,0.9448946784928856,11.140083735680387,5,68.33306431087047,7.03076949699139,YouTube,Vlog,US,4564.722607054202
0,50,10.77757367874796,1,0.48550660873929996,12.27023090896039,5,61.31190075909375,8.440366139999044,Instagram,Education,US,4476.928078877923
4,5,3.5257772956173437,9,0.9088113966931632,13.45785878524112,8,43.637336044544355,10.375150943775557,YouTube,Education,Europe,5223.9179771355975
2,16,17.538740299655036,8,0.6208489787443984,10.476693949565636,8,86.3984134959532,14.94435343171337,Instagram,Education,US,6103.749490215554
2,53,5.45068161235163,9,0.34626923202995485,1.8063647970382424,9,78.71862740958369,7.448405483267827,Twitch,Gaming,US,4748.938652172123
11,47,8.05162303244159,9,0.5092213175895929,12.646479685501344,4,41.137405761072685,1.3737561630756898,YouTube,Vlog,US,4807.856834556836
8,43,9.182102685753584,9,0.5932699357564284,10.869621386205885,8,88.80335137665334,7.91681224573621,YouTube,Education,Europe,5685.213455037968
6,26,18.57172062719699,4,0.9080023829138999,17.69295282118443,9,31.533521353394946,7.269204058027942,YouTube,Vlog,India,5046.884173964172
7,55,6.600589541537965,4,0.4129871925810643,13.843375396409723,3,28.467498898517825,10.239401264848155,Instagram,Gaming,India,5167.58193285395
2,13,24.119021834216507,2,0.03638888486441971,6.308782189409634,2,29.282181100710886,8.953858262249467,Twitch,Education,Europe,4705.534965617226
7,5,17.643043868765417,7,0.24457847586532877,17.660801172593654,1,29.91171208065088,8.843216466192297,YouTube,Gaming,India,5053.190060682568
6,67,20.206285302879557,9,0.8172251401347191,13.30023823466157,3,91.67388999454258,8.632951302977354,YouTube,Vlog,India,5424.89637969389
4,4,20.076231607325653,3,0.6203927172350884,12.166209432764507,1,39.53288890313212,13.411558292272339,YouTube,Education,Europe,5440.734395792972
6,9,8.375051009430948,9,0.5312308251384276,16.595508261017955,8,42.04085297087036,6.385221620564568,YouTube,Gaming,Europe,5300.121247188193
4,56,15.14739982422575,3,0.17128371625937577,2.4490715867637425,7,51.034403864410336,12.096138225545364,YouTube,Gaming,India,5290.010335563238
4,35,20.379001890559884,1,0.18045870998308355,13.82782774433363,2,66.7926253756606,10.736173273638961,YouTube,Education,Europe,5468.135861010846
9,32,22.826499462976948,9,0.42775421853439877,8.356068599188912,1,32.3634892978237,14.37030955612419,YouTube,Education,US,6642.703369492596
1,73,10.238792452339144,1,0.10488237245158272,9.071281790960754,2,36.53964805366728,10.83023240571143,Instagram,Education,US,5237.9536437063825
10,68,18.634078928417825,5,0.39635172174954636,4.870829104838496,4,62.358958290981896,9.31467331083934,YouTube,Vlog,India,5310.858466865623
5,72,4.946738373407632,4,0.7296078370389485,12.905589093874301,9,55.116228388453834,5.7353884206319234,Instagram,Gaming,India,4615.007119088232
6,38,10.258862295119197,1,0.6981430844203007,12.779382357361003,3,76.01931688208353,3.9193444742443884,Instagram,Gaming,US,4193.512292425142
4,27,16.200500430076573,6,0.9170914194696583,5.136340467334993,8,41.620678530814494,10.17613945337614,YouTube,Gaming,India,4935.806628034445
10,32,14.79564904279773,2,0.187401348388344,1.2970849591572293,6,29.446400142107095,3.530195207993961,YouTube,Vlog,India,4036.9198628996055
1,53,8.684954612366889,9,0.47869771191750266,12.69411584792466,8,61.62563288872246,13.880636049914,Instagram,Education,US,6027.8868977758675
1,79,8.713910227792557,3,0.16447300298074619,6.2432580877781785,7,49.82152422758406,11.994270143555203,YouTube,Vlog,India,4820.325730050634
4,21,4.56553461839958,7,0.8447226537691533,17.203048905033487,2,78.42944585078072,8.382800145172272,Instagram,Gaming,India,4374.085436819958
10,23,2.51119515337113,8,0.9573297014000802,14.506524910205599,2,67.08184240379126,7.604474620136353,Twitch,Gaming,US,5374.452659642792
7,25,15.865638884752723,2,0.025706354340617077,5.175526064162667,7,39.814563127891525,4.920589588149856,Instagram,Gaming,India,3930.7988732088443
3,2,3.6618804874702633,3,0.47886466119570636,10.309719350757,2,72.4123911907717,12.39332353340967,YouTube,Vlog,US,4682.215481263759
5,68,14.338974495055306,2,0.8819274694298873,8.343776378844204,1,25.13588666801283,7.725043187953895,YouTube,Education,US,4581.73069748295
3,27,21.856514055296522,7,0.03318988539412504,2.9739724071333113,9,37.08961991667927,7.947137139040188,Instagram,Education,India,4797.495617203452
3,7,22.541991653247106,1,0.6720231907305318,2.9215846337808173,6,67.92987315162702,1.2623113265011434,Instagram,Vlog,Europe,2994.4140227379526
1,17,11.428626369125197,3,0.9950881767356429,6.954358887926789,4,38.30837298605183,9.6212166379168,YouTube,Vlog,Europe,4462.248057114733
6,4,1.90844820832638,4,0.9842305540600691,12.382280960903255,3,63.96037943455782,1.7092119280343543,Instagram,Vlog,US,3347.3256074591422
8,41,6.83649091582769,4,0.5766101523583582,17.537989212237267,2,76.93748787795009,14.501059222066235,Instagram,Education,US,6116.434442192481
1,78,21.65833262125254,6,0.7534032506580087,3.5237632318483607,7,89.68641211535812,5.757932899472554,Instagram,Vlog,Europe,4546.701164848626
10,41,22.169742069007665,7,0.3654717363775508,5.173378296245099,4,80.06616652536707,12.341478000753296,YouTube,Education,India,6130.683058804661
1,71,18.237606981795455,9,0.3066261074854909,13.198835243563778,4,29.34695080479353,8.956809592561047,YouTube,Education,India,5252.034659707564
7,56,10.898307079400569,5,0.11178474219654044,2.691842584492175,4,73.88416939284579,14.701920205111508,YouTube,Vlog,India,5604.25666603947
4,37,23.990009589393544,6,0.28775157960933206,5.502435933481034,7,57.868502630096984,8.64884912515442,Instagram,Education,US,5346.665459868456
8,23,2.470605529622338,3,0.9144717410638268,9.712290773939209,4,59.028607099249726,12.380069533598514,Instagram,Gaming,US,5257.729736742446
5,62,19.47904023191584,4,0.5399733905780715,16.284656738662704,6,48.056524272277485,6.950210489644957,Twitch,Education,US,5412.463484122937
5,53,9.657583701382984,2,0.9915483756293606,3.7400074317138743,9,87.4569351941168,7.34131648735065,Instagram,Gaming,India,4101.881106137857
11,4,18.81529295684217,1,0.6551636789200405,14.109142003897116,9,74.55179352846162,1.728994274286645,YouTube,Gaming,India,3947.1926010164866
2,47,17.813764776497713,3,0.9867906352530357,9.930266643216891,2,74.01141317323928,1.20736052840122,Twitch,Vlog,India,2983.6328538775947
5,37,18.067362682694718,5,0.5174543672513733,6.231624815409063,4,59.80100847251989,7.942478424307331,Twitch,Education,Europe,4920.440611184831
7,50,8.61333515740164,7,0.6089975266026499,15.244986444883633,6,91.78984032401941,1.8133846589396065,Instagram,Gaming,India,4110.26999276729
10,36,21.058475325727272,4,0.26421461358690856,8.430306187330935,8,40.71037800981725,8.419300963081525,YouTube,Gaming,US,6147.433826716782
0,31,17.011531673387573,1,0.6186259689913608,13.998833029566466,2,38.150235796904724,7.586549997375937,YouTube,Vlog,India,3997.3620831933854
1,51,20.888238627294,6,0.5035738980801344,5.986133552706625,1,57.20477237026212,7.113265763319006,Twitch,Gaming,India,4140.164384858853
0,38,10.802812999131616,7,0.8500662923352442,15.38441068820045,6,34.78191159008436,9.78733073385499,YouTube,Vlog,India,4649.740630276724
5,11,4.608788485006185,6,0.9874480788122014,4.482632312166495,7,50.0928289229241,8.846236337176096,Instagram,Education,India,4114.603301703148
7,56,15.24900178814036,3,0.886359509143504,11.539187896256243,5,74.06108302379113,6.438851101088529,Instagram,Vlog,US,4717.749072915437
11,7,5.753973378200399,4,0.8345466413759187,13.722908801244921,9,83.1935016162968,2.105426670682628,Instagram,Gaming,US,4224.557048999323
4,45,16.215779303708526,9,0.2544590279185267,12.990646361389832,1,57.758593969263096,11.389243182628752,YouTube,Gaming,India,5731.759258745886
10,57,17.812784882482006,2,0.5930457318110383,3.907394237117786,2,78.59176322485241,9.580902165359957,YouTube,Vlog,India,5036.7413931876745
6,1,7.720378264538154,8,0.9023181803660696,2.434451629905442,5,53.80573431100599,13.071670440279428,Instagram,Education,US,4806.2385874857
2,47,7.752819919407438,1,0.07041228689493217,15.826239061508712,7,77.25777925698688,0.5150633864840801,Instagram,Education,US,3669.3191936824533
4,59,5.7625928423377175,8,0.9122513445572592,12.789064251504067,7,91.60414249764139,4.7391828890601175,YouTube,Education,India,4707.540770471395
2,79,3.5911303587084076,2,0.5634748393479571,16.210305363001787,2,68.32755430060135,8.545961505805588,Instagram,Education,Europe,4794.246731735154
7,34,9.349177379922349,2,0.5595594406205988,1.3580522434237052,7,39.35647783522139,5.553192818617668,Twitch,Gaming,India,3902.097452222857
1,28,22.45130351538049,4,0.7836133327044509,5.152780072262989,7,30.77885516589596,2.9562223851157206,YouTube,Gaming,US,4297.855557668641
1,55,24.25734788311818,6,0.1661611941013026,16.284478434078185,2,45.37493307908342,4.965320835719671,Instagram,Gaming,US,4980.57971094712
5,44,18.97534856481618,5,0.7713522135243536,10.420781876239678,1,87.52515002333229,5.200222432966187,Instagram,Gaming,US,4706.043845173441
1,28,9.765587530829173,6,0.16430363868424536,8.584681847913323,1,88.18418974410349,2.2432740332597225,YouTube,Education,US,4127.762976468953
3,46,20.414388567763982,3,0.6271244750491827,10.024761355700718,3,94.0190249785258,12.553965484095711,YouTube,Gaming,India,5429.904557459751
3,35,8.63268778274498,6,0.18902490000082606,9.196626263761662,8,28.091151570534905,5.050985923124743,Instagram,Gaming,US,4681.435951171236
2,1,16.274682641675472,2,0.6919581635521792,15.004360918952452,2,39.10519239401925,7.692847447128524,YouTube,Gaming,Europe,4196.611797057105
3,37,14.485900143205612,7,0.07945750733875301,7.962937195512144,7,51.121702799692045,11.230496278171765,YouTube,Education,India,5510.407485677529
3,5,1.9032565619137438,5,0.26444312109058654,3.9975003381938734,6,86.97740499926135,3.128663202511132,YouTube,Vlog,US,3612.3218961829684
2,58,18.02241405037877,4,0.3064800527505944,14.983879305620928,9,43.95366103720698,0.9333654137320615,Twitch,Education,India,3977.556885698325
0,51,20.741567831398044,5,0.7746828065853057,7.732946463541537,3,29.494030263455947,10.87167081137599,Twitch,Gaming,India,4616.228906276381
9,56,3.755919853229263,9,0.1859997721588461,12.374163963583024,6,85.98779568203683,11.520921131249148,Instagram,Gaming,Europe,6308.6144367335855
11,70,21.916536076909793,6,0.4209406042003293,8.611783495960617,6,62.49373764093953,10.277790093703015,Instagram,Gaming,Europe,6379.890648205756
2,60,7.357514869870815,3,0.4344829387016744,13.220514939769918,1,55.58813704188974,2.6024985090818964,Instagram,Education,Europe,3520.9984097047086
3,59,9.293590505623687,9,0.9850795310583799,9.047640245803963,3,64.00942482104844,9.096056756770677,YouTube,Vlog,US,5207.520191962317
0,19,1.795442121104859,8,0.38747211184369135,6.852286037045167,8,38.90327540758218,3.334394544934147,Twitch,Gaming,Europe,3658.330661629372
8,33,3.6486579525264258,5,0.009743588343958054,2.1941050838866154,4,94.5310449606351,6.527286231876007,Twitch,Education,Europe,4643.812674234873
11,56,1.257118720304307,4,0.4976717114883892,8.609802515853122,3,78.96120573032036,4.848768740632406,Twitch,Education,Europe,4696.7075274256995
3,27,15.428023496569708,9,0.7622335127868383,4.39239083003185,7,52.21618704750608,14.099210908208976,YouTube,Gaming,US,6254.6743723094505
7,57,13.409385899748182,3,0.7069039776932832,11.19190079523228,3,83.16801451947757,5.4406595650598355,Instagram,Vlog,India,4200.547144682175
2,17,1.383347050819383,8,0.9885295762386687,6.770236939276623,9,89.08613309334842,1.5734921302587046,YouTube,Vlog,India,3335.6475668635853
9,21,15.850708104315144,8,0.9522596025456032,12.041504734827189,7,80.75114048165958,4.049752856484509,YouTube,Gaming,US,5175.667933433633
7,58,6.240601958823197,6,0.2920716025702196,6.047892882162412,8,45.048577666052466,13.001918257904343,Instagram,Education,India,5639.816173203924
2,54,8.089282773900095,4,0.037028016176705814,11.046491110926109,4,80.2340328706963,0.9103508293832362,YouTube,Education,India,3405.7591083790785
2,75,18.912501338118425,6,0.006168107546736357,8.668218554867185,4,32.12613533642966,2.390315068051602,YouTube,Vlog,US,4658.456169726886
6,15,18.721860387963417,6,0.22041241437277326,1.0069764549241003,3,35.680078830052324,12.435664865955449,Twitch,Education,US,5329.332795490639
11,58,9.299087719248696,3,0.26269097942269726,1.5001918316947156,4,26.73162209097414,10.410190727922462,Instagram,Education,India,5145.783742251709
9,22,8.669599404823433,6,0.2958910749175353,10.324638510836614,5,48.585909864708285,4.4378516607703204,Twitch,Education,Europe,4694.307680453824
10,21,19.31622953152265,6,0.352196757679782,7.177364154875502,9,70.50554898844271,13.62881270183678,YouTube,Gaming,India,6082.920375475657
10,15,4.683659237298796,2,0.12136049658371206,9.709999013201559,4,77.37219956287919,14.76033763910388,Instagram,Vlog,Europe,5728.121972914182
11,24,24.521426334206605,5,0.6924235379900834,9.39225991255954,3,29.162134621205453,5.639994025225163,Instagram,Gaming,India,4559.326090018862
1,29,8.132827987013787,3,0.5526125173353492,10.075133335513716,7,92.04568258006653,9.103785023842383,Instagram,Vlog,India,3929.316911924044
1,60,11.165652855199522,3,0.12364371926724294,13.87078224179809,1,68.23007593822058,3.731027436491083,YouTube,Vlog,US,4347.995681133784
6,4,17.498540669063193,2,0.3947799215953671,3.9397968788146445,9,67.96003264195139,10.955382454443855,Twitch,Education,India,4493.357301240005
11,60,23.087117389989594,5,0.6492062869592617,5.041499677864202,2,44.50097621300353,8.849695186694882,Twitch,Gaming,India,5350.856904774329
5,14,16.236895814537498,7,0.3279396588096237,6.9205809224935155,3,54.35087514846518,11.474208627366862,Twitch,Education,US,5382.059011166031
11,42,13.08944989514319,9,0.5032281447774387,2.0850827958165525,4,35.37653772344143,12.469784755564438,YouTube,Vlog,India,5819.128456503118
1,27,7.179565318559192,3,0.9736530755012444,15.694576350349925,5,36.768557342860014,9.036057536736388,YouTube,Education,India,4457.636423232214
8,15,2.601149653737089,1,0.7919330528140005,9.58407085926098,3,49.99829563666219,9.76528814911161,Twitch,Vlog,US,4757.863469095417
1,51,7.57749049022804,5,0.9474752598654196,16.628634370506575,4,57.92009108070806,9.930538900847441,YouTube,Vlog,US,5280.238287883435
11,33,23.34551476008811,2,0.0984806327427753,2.856152183424515,6,63.55586918440877,0.7003420357181809,YouTube,Education,India,4146.209227166833
8,47,24.918233126247777,1,0.3623490619049049,3.762656295958878,2,66.68619307030353,2.2894234877226247,Instagram,Gaming,US,4418.248596961349
6,60,15.14622571821825,5,0.6897811091966443,14.28739912659307,6,92.05100337739981,14.386519092426425,Instagram,Education,US,6315.705684202326
2,58,12.037855914882215,9,0.5341899260012799,15.63568672030028,9,28.781262513906263,3.0511581203094615,YouTube,Vlog,Europe,4670.251774046265
6,52,21.566798385746132,6,0.6678851365435303,7.5481532459685265,3,42.834529621037106,13.982578023444862,Instagram,Gaming,India,5659.685736851341
1,30,16.211728105338462,8,0.6432164958869971,8.498255135112885,3,94.57770259593003,1.9420163052661865,Instagram,Vlog,India,3239.2674488523594
6,2,13.232797307358926,4,0.8158420827530659,5.029317864925639,6,76.38284207211015,8.393204112555157,Instagram,Vlog,Europe,3956.3698653150477
8,68,5.738536346483992,2,0.9257997327863614,6.453604912150153,9,93.77674420173838,13.286661319261864,Instagram,Gaming,India,5379.8756237487405
9,25,9.6244065174612,3,0.1936310546609713,2.397282336654942,1,94.46479659012954,12.716668629346733,Instagram,Education,US,5440.728330878386
10,68,2.6713962278192653,5,0.07829360329893842,14.799152177834534,7,49.54664782736583,10.034975187179143,YouTube,Education,US,6362.5666564913
2,45,16.618432896345738,8,0.018255921308655942,17.866317913852395,4,61.139432452256194,0.6017939398878671,YouTube,Education,India,4132.169328902541
9,15,17.388386011322083,3,0.35226604405558615,14.621675080758694,3,37.18140509316851,6.992569052909481,Twitch,Vlog,India,4463.309173766318
11,58,3.120853076350649,9,0.29682703905304153,15.368143596167965,6,46.49655686667509,10.576575522773792,Twitch,Gaming,US,6644.164570041728
